Approved Symbol	Gene family description
KATNAL2	AAA ATPases
LONP1	AAA ATPases
LONP2	AAA ATPases
NSF	AAA ATPases
NVL	AAA ATPases
ORC1	AAA ATPases
ORC4	AAA ATPases
PEX1	AAA ATPases
PEX6	AAA ATPases
PSMC1	AAA ATPases
PSMC2	AAA ATPases
PSMC3	AAA ATPases
PSMC4	AAA ATPases
PSMC5	AAA ATPases
PSMC6	AAA ATPases
RFC1	AAA ATPases
RFC2	AAA ATPases
RFC3	AAA ATPases
RFC4	AAA ATPases
RFC5	AAA ATPases
RUVBL1	AAA ATPases
RUVBL2	AAA ATPases
SPAST	AAA ATPases
SPATA5	AAA ATPases
SPATA5L1	AAA ATPases
SPG7	AAA ATPases
TRIP13	AAA ATPases
VCP	AAA ATPases
VPS4A	AAA ATPases
VPS4B	AAA ATPases
WRNIP1	AAA ATPases
YME1L1	AAA ATPases
MDN1	AAA ATPases
ABHD1	Abhydrolase domain containing
ABHD10	Abhydrolase domain containing
ABHD11	Abhydrolase domain containing
ABHD12	Abhydrolase domain containing
ABHD12B	Abhydrolase domain containing
ABHD13	Abhydrolase domain containing
ABHD14A	Abhydrolase domain containing
ABHD14B	Abhydrolase domain containing
ABHD15	Abhydrolase domain containing
ABHD16A	Abhydrolase domain containing
ABHD16B	Abhydrolase domain containing
ABHD17A	Abhydrolase domain containing
ABHD17B	Abhydrolase domain containing
ABHD17C	Abhydrolase domain containing
ABHD2	Abhydrolase domain containing
ABHD3	Abhydrolase domain containing
ABHD4	Abhydrolase domain containing
ABHD5	Abhydrolase domain containing
ABHD6	Abhydrolase domain containing
ABHD8	Abhydrolase domain containing
EPHX3	Abhydrolase domain containing
EPHX4	Abhydrolase domain containing
ACP1	Acid phosphatases
ACP2	Acid phosphatases
ACP5	Acid phosphatases
ACP6	Acid phosphatases
ACPP	Acid phosphatases
ACPT	Acid phosphatases
PXYLP1	Acid phosphatases
ASIC1	Acid sensing ion channel subunits
ASIC2	Acid sensing ion channel subunits
ASIC3	Acid sensing ion channel subunits
ASIC4	Acid sensing ion channel subunits
ASIC5	Acid sensing ion channel subunits
ARPC1A	Actin related protein 2/3 complex 
ARPC1B	Actin related protein 2/3 complex 
ARPC2	Actin related protein 2/3 complex 
ARPC3	Actin related protein 2/3 complex 
ARPC4	Actin related protein 2/3 complex 
ARPC5	Actin related protein 2/3 complex 
ARPC5L	Actin related protein 2/3 complex 
ACTR2	Actin related protein 2/3 complex 
ACTR3	Actin related protein 2/3 complex 
ACTN1	Actinins
ACTN2	Actinins
ACTN3	Actinins
ACTN4	Actinins
ACTA1	Actins
ACTA2	Actins
ACTB	Actins
ACTC1	Actins
ACTG1	Actins
ACTG2	Actins
LILRA1	Activating leukocyte immunoglobulin like receptors
LILRA2	Activating leukocyte immunoglobulin like receptors
LILRA3	Activating leukocyte immunoglobulin like receptors
LILRA4	Activating leukocyte immunoglobulin like receptors
LILRA5	Activating leukocyte immunoglobulin like receptors
LILRA6	Activating leukocyte immunoglobulin like receptors
ACAD10	Acyl-CoA dehydrogenase family
ACAD11	Acyl-CoA dehydrogenase family
ACAD8	Acyl-CoA dehydrogenase family
ACAD9	Acyl-CoA dehydrogenase family
ACADL	Acyl-CoA dehydrogenase family
ACADM	Acyl-CoA dehydrogenase family
ACADS	Acyl-CoA dehydrogenase family
ACADSB	Acyl-CoA dehydrogenase family
ACADVL	Acyl-CoA dehydrogenase family
IVD	Acyl-CoA dehydrogenase family
GCDH	Acyl-CoA dehydrogenase family
AACS	Acyl-CoA synthetase family
AASDH	Acyl-CoA synthetase family
ACSBG1	Acyl-CoA synthetase family
ACSBG2	Acyl-CoA synthetase family
ACSF2	Acyl-CoA synthetase family
ACSF3	Acyl-CoA synthetase family
ACSL1	Acyl-CoA synthetase family
ACSL3	Acyl-CoA synthetase family
ACSL4	Acyl-CoA synthetase family
ACSL5	Acyl-CoA synthetase family
ACSL6	Acyl-CoA synthetase family
ACSM1	Acyl-CoA synthetase family
ACSM2A	Acyl-CoA synthetase family
ACSM2B	Acyl-CoA synthetase family
ACSM3	Acyl-CoA synthetase family
ACSM4	Acyl-CoA synthetase family
ACSM5	Acyl-CoA synthetase family
ACSS1	Acyl-CoA synthetase family
ACSS2	Acyl-CoA synthetase family
ACSS3	Acyl-CoA synthetase family
SLC27A1	Acyl-CoA synthetase family
SLC27A2	Acyl-CoA synthetase family
SLC27A3	Acyl-CoA synthetase family
SLC27A4	Acyl-CoA synthetase family
SLC27A5	Acyl-CoA synthetase family
SLC27A6	Acyl-CoA synthetase family
ACOT1	Acyl-CoA thioesterases
ACOT11	Acyl-CoA thioesterases
ACOT12	Acyl-CoA thioesterases
ACOT13	Acyl-CoA thioesterases
ACOT2	Acyl-CoA thioesterases
ACOT4	Acyl-CoA thioesterases
ACOT6	Acyl-CoA thioesterases
ACOT7	Acyl-CoA thioesterases
ACOT8	Acyl-CoA thioesterases
ACOT9	Acyl-CoA thioesterases
ADAM10	ADAM metallopeptidase domain containing
ADAM11	ADAM metallopeptidase domain containing
ADAM12	ADAM metallopeptidase domain containing
ADAM15	ADAM metallopeptidase domain containing
ADAM17	ADAM metallopeptidase domain containing
ADAM18	ADAM metallopeptidase domain containing
ADAM19	ADAM metallopeptidase domain containing
ADAM1A	ADAM metallopeptidase domain containing
ADAM1B	ADAM metallopeptidase domain containing
ADAM2	ADAM metallopeptidase domain containing
ADAM20	ADAM metallopeptidase domain containing
ADAM21	ADAM metallopeptidase domain containing
ADAM22	ADAM metallopeptidase domain containing
ADAM23	ADAM metallopeptidase domain containing
ADAM24P	ADAM metallopeptidase domain containing
ADAM28	ADAM metallopeptidase domain containing
ADAM29	ADAM metallopeptidase domain containing
ADAM30	ADAM metallopeptidase domain containing
ADAM32	ADAM metallopeptidase domain containing
ADAM33	ADAM metallopeptidase domain containing
ADAM3A	ADAM metallopeptidase domain containing
ADAM3B	ADAM metallopeptidase domain containing
ADAM5	ADAM metallopeptidase domain containing
ADAM6	ADAM metallopeptidase domain containing
ADAM7	ADAM metallopeptidase domain containing
ADAM8	ADAM metallopeptidase domain containing
ADAM9	ADAM metallopeptidase domain containing
ADAMTS1	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS10	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS12	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS13	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS14	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS15	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS16	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS17	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS18	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS19	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS2	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS20	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS3	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS4	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS5	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS6	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS7	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS8	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTS9	ADAM metallopeptidases with thrombospondin type 1 motif
ADAMTSL1	ADAMTS like
ADAMTSL2	ADAMTS like
ADAMTSL3	ADAMTS like
ADAMTSL4	ADAMTS like
ADAMTSL5	ADAMTS like
THSD4	ADAMTS like
PAPLN	ADAMTS like
ADA	Adenosine deaminase family
ADAL	Adenosine deaminase family
AMPD1	Adenosine deaminase family
AMPD2	Adenosine deaminase family
AMPD3	Adenosine deaminase family
ADA2	Adenosine deaminase family
ADAT1	Adenosine deaminases acting on RNA
ADAT2	Adenosine deaminases acting on RNA
ADAT3	Adenosine deaminases acting on RNA
ADAR	Adenosine deaminases acting on RNA
ADARB1	Adenosine deaminases acting on RNA
ADARB2	Adenosine deaminases acting on RNA
ADAD1	Adenosine deaminases acting on RNA
ADAD2	Adenosine deaminases acting on RNA
ADORA1	Adenosine receptors
ADORA2A	Adenosine receptors
ADORA2B	Adenosine receptors
ADORA3	Adenosine receptors
ADCY1	Adenylate cyclases
ADCY10	Adenylate cyclases
ADCY2	Adenylate cyclases
ADCY3	Adenylate cyclases
ADCY4	Adenylate cyclases
ADCY5	Adenylate cyclases
ADCY6	Adenylate cyclases
ADCY7	Adenylate cyclases
ADCY8	Adenylate cyclases
ADCY9	Adenylate cyclases
AK1	Adenylate kinases
AK2	Adenylate kinases
AK3	Adenylate kinases
AK4	Adenylate kinases
AK5	Adenylate kinases
AK6	Adenylate kinases
AK7	Adenylate kinases
AK8	Adenylate kinases
AK9	Adenylate kinases
ADGRA3	Adhesion G protein-coupled receptors, subfamily A
ADGRA1	Adhesion G protein-coupled receptors, subfamily A
ADGRA2	Adhesion G protein-coupled receptors, subfamily A
ADGRB1	Adhesion G protein-coupled receptors, subfamily B
ADGRB2	Adhesion G protein-coupled receptors, subfamily B
ADGRB3	Adhesion G protein-coupled receptors, subfamily B
CELSR1	Adhesion G protein-coupled receptors, subfamily C
CELSR2	Adhesion G protein-coupled receptors, subfamily C
