accession_number	gene	all_gene_names
A8CG34	POM121C	POM121C
Q8NEJ0	DUSP18	DUSP18
Q5FYB0	ARSJ	ARSJ
P01619	IGKV3-20	IGKV3-20
Q5FYB1	ARSI	ARSI
A0A087WT01	TRAV27	TRAV27
Q6RVD6	SPATA8	SPATA8
Q15940	ZNF726P1	ZNF726P1
A0A087WT02	TRAV9-2	TRAV9-2
Q14160	SCRIB	SCRIB
Q5H9R4	ARMCX4	ARMCX4
A0A087WT03	TRAV26-1	TRAV26-1
O15178	TBXT	TBXT
Q5T1R4	HIVEP3	HIVEP3
Q14161	GIT2	GIT2
Q96PT3	DUX5	DUX5
Q8TER5	ARHGEF40	ARHGEF40
Q15942	ZYX	ZYX
Q14162	SCARF1	SCARF1
Q96PT4	DUX3	DUX3
Q96HD1	CRELD1	CRELD1
A6NGJ6	TRIM64	TRIM64
Q5H9R7	PPP6R3	PPP6R3
Q01543	FLI1	FLI1
A8MVZ5	BTNL10	BTNL10
Q14164	IKBKE	IKBKE
Q5VZ89	DENND4C	DENND4C
Q6VUC0	TFAP2E	TFAP2E
P18124	RPL7	RPL7
Q14165	MLEC	MLEC
C9JCN9	HSBP1L1	HSBP1L1
P51861	CDR1	CDR1
Q14166	TTLL12	TTLL12
Q8NEJ9	NGDN	NGDN
Q01546	KRT76	KRT76
P51864	TDGF1P3	TDGF1P3
Q14168	MPP2	MPP2
Q3SY52	ZIK1	ZIK1
P16885	PLCG2	PLCG2
Q9NWW0	HCFC1R1	HCFC1R1
Q99741	CDC6	CDC6
Q96HD9	ACY3	ACY3
Q99742	NPAS1	NPAS1
Q5MY95	ENTPD8	ENTPD8
P68363	TUBA1B	TUBA1B
Q99743	NPAS2	NPAS2
Q3SY56	SP6	SP6
P02489	CRYAA	CRYAA
Q6ZTA4	TRIM67	TRIM67
P10809	HSPD1	HSPD1
P68366	TUBA4A	TUBA4A
Q9NWW5	CLN6	CLN6
Q8N3C0	ASCC3	ASCC3
Q9BWG4	SSBP4	SSBP4
Q9NWW6	NMRK1	NMRK1
Q99747	NAPG	NAPG
Q99748	NRTN	NRTN
Q9NWW7	C2orf42	C2orf42
Q6NT16	SLC18B1	SLC18B1
Q5JXA9	SIRPB2	SIRPB2
Q9BWG6	SCNM1	SCNM1
Q9NWW9	PLAAT2	PLAAT2
O95544	NADK	NADK
Q8N3C7	CLIP4	CLIP4
Q9H6U6	BCAS3	BCAS3
Q53G59	KLHL12	KLHL12
Q9H6U8	ALG9	ALG9
Q8IZL2	MAML2	MAML2
P63151	PPP2R2A	PPP2R2A
Q0VDF9	HSPA14	HSPA14
Q6ZRZ4	C9orf47	C9orf47
A6NLF2	ELOA3D	ELOA3D
P24298	GPT	GPT
P11678	EPX	EPX
Q8WZ82	OVCA2	OVCA2
Q4VC05	BCL7A	BCL7A
Q8IZL8	PELP1	PELP1
Q8WZ84	OR8D1	OR8D1
Q9Y5R2	MMP24	MMP24
Q09327	MGAT3	MGAT3
Q2KJY2	KIF26B	KIF26B
Q14623	IHH	IHH
P01160	NPPA	NPPA
Q09328	MGAT5	MGAT5
Q14624	ITIH4	ITIH4
P0CJ85	DUX4L2	DUX4L2
Q8IZL9	CDK20	CDK20
Q9Y5R4	HEMK1	HEMK1
P0CJ86	DUX4L3	DUX4L3
Q8NB66	UNC13C	UNC13C
P50539	MXI1	MXI1
Q14626	IL11RA	IL11RA
P0CJ87	DUX4L4	DUX4L4
Q9Y5R5	DMRT2	DMRT2
Q2M329	CCDC96	CCDC96
Q14627	IL13RA2	IL13RA2
P22102	GART	GART
P0CJ88	DUX4L5	DUX4L5
Q9Y5R6	DMRT1	DMRT1
P0CJ89	DUX4L6	DUX4L6
Q9Y5R8	TRAPPC1	TRAPPC1
P47881	OR3A1	OR3A1
Q9UEF7	KL	KL
P29965	CD40LG	CD40LG
P22105	TNXB	TNXB
P29966	MARCKS	MARCKS
P47883	OR3A4P	OR3A4P
P47884	OR1D4	OR1D4
P36507	MAP2K2	MAP2K2
P36508	ZNF76	ZNF76
Q96E09	FAM122A	FAM122A
Q5TEA3	C20orf194	C20orf194
Q8WXQ3	LINC01599	LINC01599
Q52LC2	ATP6AP1L	ATP6AP1L
P47887	OR1E2	OR1E2
Q9BT30	ALKBH7	ALKBH7
Q5TEA6	SEL1L2	SEL1L2
P47888	OR3A3	OR3A3
Q7Z553	MDGA2	MDGA2
Q2M1K9	ZNF423	ZNF423
Q15493	RGN	RGN
O60662	KLHL41	KLHL41
Q01094	E2F1	E2F1
Q86W10	CYP4Z1	CYP4Z1
Q8WXQ8	CPA5	CPA5
Q86W11	ZSCAN30	ZSCAN30
Q04118	PRB3	PRB3
O60663	LMX1B	LMX1B
Q6PXP3	SLC2A7	SLC2A7
O60664	PLIN3	PLIN3
P24752	ACAT1	ACAT1
Q5TCZ1	SH3PXD2A	SH3PXD2A
Q02878	RPL6	RPL6
A0A1W2PR19	GSTT4	GSTT4
O60667	FCMR	FCMR
P55290	CDH13	CDH13
P55291	CDH15	CDH15
O60669	SLC16A7	SLC16A7
P0DPP9	ETDB	ETDB
P58317	ZNF121	ZNF121
P42677	RPS27	RPS27
Q13303	KCNAB2	KCNAB2
Q9HB40	SCPEP1	SCPEP1
Q3ZCW2	LGALSL	LGALSL
Q13304	GPR17	GPR17
Q9BRL6	SRSF8	SRSF8
Q969R2	OSBP2	OSBP2
P42679	MATK	MATK
P81534	DEFB103A	DEFB103A|DEFB103B
Q9BRL7	SEC22C	SEC22C
Q9H1Z4	WDR13	WDR13
Q8NG27	PJA1	PJA1
Q13308	PTK7	PTK7
Q969R5	L3MBTL2	L3MBTL2
P01624	IGKV3-15	IGKV3-15
A6NI28	ARHGAP42	ARHGAP42
Q13309	SKP2	SKP2
Q8IUQ0	CLVS1	CLVS1
O15182	CETN3	CETN3
O95096	NKX2-2	NKX2-2
Q969R8	ITFG2	ITFG2
Q9H1Z8	ECRG4	ECRG4
Q9H1Z9	TSPAN10	TSPAN10
Q8IUQ4	SIAH1	SIAH1
P33947	KDELR2	KDELR2
A6NGK3	GAGE10	GAGE10
Q8NEK5	ZNF548	ZNF548
Q96PU4	UHRF2	UHRF2
Q96PU5	NEDD4L	NEDD4L
Q8TES7	FBF1	FBF1
Q5H9S7	DCAF17	DCAF17
Q8NEK8	TENT5D	TENT5D
Q5T1S8	NCMAP	NCMAP
Q5SYB0	FRMPD1	FRMPD1
Q96PU8	QKI	QKI
Q96PU9	ODF3	ODF3
Q96HE7	ERO1A	ERO1A
Q96HE8	TMEM80	TMEM80
Q99750	MDFI	MDFI
P23434	GCSH	GCSH
Q68DA7	FMN1	FMN1
P68371	TUBB4B	TUBB4B
Q96HE9	PRR11	PRR11
P23435	CBLN1	CBLN1
Q5JXB2	UBE2NL	UBE2NL
Q6P4A7	SFXN4	SFXN4
P37837	TALDO1	TALDO1
Q6P4A8	PLBD1	PLBD1
P51878	CASP5	CASP5
Q99755	PIP5K1A	PIP5K1A
Q9BWH2	FUNDC2	FUNDC2
Q9NWX5	ASB6	ASB6
A0A1B0GTU1	ZC3H11B	ZC3H11B
Q99757	TXN2	TXN2
Q9NWX6	THG1L	THG1L
Q3SY69	ALDH1L2	ALDH1L2
A0A1B0GTU2	CTXND1	CTXND1
Q99758	ABCA3	ABCA3
Q9BWH6	RPAP1	RPAP1
Q99759	MAP3K3	MAP3K3
Q6ZTB9	ZNF833P	ZNF833P
O95551	TDP2	TDP2
A0A0B4J1U3	IGLV1-36	IGLV1-36
Q8N3D4	EHBP1L1	EHBP1L1
A0A0B4J1U4	TRGV5	TRGV5
Q2NKQ1	SGSM1	SGSM1
Q0VDG4	SCRN3	SCRN3
P80217	IFI35	IFI35
A0A0B4J1U6	TRBV9	TRBV9
A0A0B4J1U7	IGHV6-1	IGHV6-1
P11684	SCGB1A1	SCGB1A1
Q9H6V9	LDAH	LDAH
P11686	SFTPC	SFTPC
P63162	SNRPN	SNRPN
P84101	SERF2	SERF2
P50542	PEX5	PEX5
Q4VC12	MSS51	MSS51
P59646	FXYD4	FXYD4
P0CJ90	DUX4L7	DUX4L7
P84103	SRSF3	SRSF3
Q8WZ92	OR5P2	OR5P2
P0CJ92	GOLGA8H	GOLGA8H
Q9Y5S1	TRPV2	TRPV2
P63165	SUMO1	SUMO1
Q96MA1	DMRTB1	DMRTB1
Q8IZM8	ZNF654	ZNF654
Q8WZ94	OR5P3	OR5P3
Q9Y5S2	CDC42BPB	CDC42BPB
Q8IZM9	SLC38A6	SLC38A6
P63167	DYNLL1	DYNLL1
Q96E11	MRRF	MRRF
P50548	ERF	ERF
Q9UEG4	ZNF629	ZNF629
P50549	ETV1	ETV1
P29972	AQP1	AQP1
Q9UMW8	USP18	USP18
P29973	CNGA1	CNGA1
Q96MA6	AK8	AK8
Q96E14	RMI2	RMI2
P47890	OR1G1	OR1G1
Q8NB78	KDM1B	KDM1B
Q9Y5S8	NOX1	NOX1
Q96E16	SMIM19	SMIM19
Q9Y5S9	RBM8A	RBM8A
Q96E17	RAB3C	RAB3C
P47893	OR3A2	OR3A2
P01178	OXT	OXT
P49137	MAPKAPK2	MAPKAPK2
Q05901	CHRNB3	CHRNB3
P47895	ALDH1A3	ALDH1A3
Q02880	TOP2B	TOP2B
P47897	QARS	QARS
Q8WXR4	MYO3B	MYO3B
Q9BT40	INPP5K	INPP5K
P47898	HTR5A	HTR5A
P05060	CHGB	CHGB
K7EJ46	SMIM22	SMIM22
Q96CJ1	EAF2	EAF2
O60671	RAD1	RAD1
Q9BT43	POLR3GL	POLR3GL
P05062	ALDOB	ALDOB
Q52LD8	RFTN2	RFTN2
O60673	REV3L	REV3L
P0DPQ3	PRR20G	PRR20G
O60674	JAK2	JAK2
O60675	MAFK	MAFK
P0DPQ4	FAM243B	FAM243B
A4D161	FAM221A	FAM221A
Q7Z569	BRAP	BRAP
Q86W24	NLRP14	NLRP14
P26006	ITGA3	ITGA3
