Approved Symbol	Previous Symbols	Synonyms
HOX1A~withdrawn		
HOX1B~withdrawn		
HOX1C~withdrawn		
HOX1D~withdrawn		
HOX1E~withdrawn		
HOX1F~withdrawn		
HOX1G~withdrawn		
HOX1H~withdrawn		
HOX1I~withdrawn		
HOX1J~withdrawn		
HOX2@~withdrawn		
HOX2A~withdrawn		
HOX2B~withdrawn		
HOX2C~withdrawn		
HOX2D~withdrawn		
HOX2E~withdrawn		
HOX2F~withdrawn		
HOX2G~withdrawn		
HOX2H~withdrawn		
HOX2I~withdrawn		
HOX3@~withdrawn		
HOX3A~withdrawn		
HOX3B~withdrawn		
HOX3C~withdrawn		
HOX3D~withdrawn		
HOX3E~withdrawn		
HOX3F~withdrawn		
HOX3G~withdrawn		
HOX3H~withdrawn		
HOX4@~withdrawn		
HOX4A~withdrawn		
HOX4B~withdrawn		
HOX4C~withdrawn		
HOX4D~withdrawn		
HOX4E~withdrawn		
HOX4F~withdrawn		
HOX4G~withdrawn		
HOX4H~withdrawn		
HOX4I~withdrawn		
HOX7~withdrawn		
HOX10~withdrawn		
HOXA-AS2		HOXA3as
HOXA-AS3		HOXA6as
HOXA1	HOX1F, HOX1	
HOXA2	HOX1K	
HOXA3	HOX1E, HOX1	
HOXA4	HOX1D, HOX1	
HOXA5	HOX1C, HOX1	
HOXA6	HOX1B, HOX1	
HOXA7	HOX1A, HOX1	
HOXA9	HOX1G, HOX1	
HOXA10	HOX1H, HOX1	
HOXA10-AS	HOXA-AS4	
HOXA11	HOX1I, HOX1	
HOXA11-AS	HOXA11AS	HOXA11-AS1, HOXA11S, HOXA-AS5, NCRNA00076
HOXA13	HOX1J, HOX1	
HOXA@	HOX1@	
HOXB-AS1		
HOXB-AS2		
HOXB-AS3		
HOXB-AS4		
HOXB1	HOX2, HOX2I	
HOXB2	HOX2, HOX2H	
HOXB3	HOX2, HOX2G	
HOXB4	HOX2, HOX2F	
HOXB5	HOX2, HOX2A	
HOXB6	HOX2, HOX2B	
HOXB7	HOX2, HOX2C	
HOXB8	HOX2, HOX2D	
HOXB9	HOX2E, HOX2	
HOXB13		
HOXB@	HOX2@	
HOXC-AS1		
HOXC-AS2		
HOXC-AS3		
HOXC4	HOX3, HOX3E	
HOXC5	HOX3D, HOX3	
HOXC6	HOX3C, HOX3	
HOXC8	HOX3, HOX3A	
HOXC9	HOX3, HOX3B	
HOXC10	HOX3I	
HOXC11	HOX3H	
HOXC12	HOX3, HOX3F, HOC3F	
HOXC13	HOX3, HOX3G	
HOXC13-AS	HOXC-AS5	
HOXC@	HOX3@	
HOXD-AS2		
HOXD1	HOX4, HOX4G	
HOXD3	HOX4A, HOX4, HOX1D	
HOXD4	HOX4B, HOX4	
HOXD8	HOX4, HOX4E	
HOXD9	HOX4C, HOX4	
HOXD10	HOX4, HOX4D	
HOXD11	HOX4, HOX4F	
HOXD12	HOX4H	
HOXD13	HOX4I, SPD	
HOXD@	HOX4@	
HP		
HP1BP3		HP1-BP74
HPAFP~withdrawn		
HPC1		
HPCA		
HPCAL1		BDR1, HLP2, VILIP-3
HPCAL4		HLP4, DKFZp761G122
HPCX		
HPD	PPD	4-HPPD, 4HPPD, GLOD3
HPDL	GLOXD1	MGC15668, 4-HPPD-L
HPDR~withdrawn		
HPE1		
HPE2~withdrawn		
HPE3~withdrawn		
HPE4~withdrawn		
HPF1	C4orf27	FLJ20534
HPFH2		
HPGD		SDR36C1
HPGDS		GSTS, PGDS, H-PGDS, PGD2, GSTS1-1, GSTS1
HPLH1		FHL1
HPN		TMPRSS1
HPN-AS1		
HPP1	FPH1	
HPR		
HPRT1	HPRT	HGPRT
HPRT1P1		
HPRT1P2	HPRTP2	
HPRT1P3	HPRTP3, HPRTP4	
HPRT2~withdrawn		
HPRTP1~withdrawn		
HPRTP4~withdrawn		
HPS1	HPS	BLOC3S1
HPS3		SUTAL, BLOC2S1
HPS4		KIAA1667, LE, BLOC3S2
HPS5		BLOC2S2, AIBP63, RU2
HPS6		FLJ22501, BLOC2S3
HPSE		HPA, HSE1, HPSE1
HPSE2	UFS	HPA2, HPR2
HPT		HYPX
HPV6AI1		
HPV18I1	HPV18I, D8S37	
HPV18I2		PAL2
HPVC1		PE5L, HPV18E5L
HPVE6A~withdrawn		
HPX		
HPYR1		HPRG1, NCRNA00027, LINC00027
HR	ALUNC	AU
HRAS	HRAS1	
HRASLS		H-REV107, HRASLS1
HRASLS2		FLJ20556
HRASLS5		HRLP5
HRC		MGC133236
HRCT1		LGLL338, PRO537, UNQ338
HRD~withdrawn		
HRES1		HRES-1/p28, HRES-1
HRG		HRGP, HPRG
HRH1		
HRH2		
HRH3		GPCR97
HRH4		H4R, HH4R, AXOR35, GPCR105, GPRv53
HRK		DP5
HRMT1L5~withdrawn		
HRNR		S100a18, S100A16, FLG3
HRP1~withdrawn		
HRPT1~withdrawn		
HS1BP3		HS1-BP3,FLJ14249
HS1BP3-IT1		
HS2ST1		KIAA0448
HS3ST1		3OST1
HS3ST2		3OST2
HS3ST3A1		3OST3A1, 30ST3A1
HS3ST3B1		3OST3B1, 30ST3B1
HS3ST4		3OST4
HS3ST5		3-OST-5
HS3ST6	HS3ST5	
HS6ST1	HS6ST	
HS6ST1P1	HS6ST1P	
HS6ST2		
HS6ST2-AS1		
HS6ST3		
HSAS1~withdrawn		
HSBP1		
HSBP1L1		FLJ10967, MGC189743
HSBP1P1		
HSBP1P2		
HSCB		HSC20, DNAJC20, Jac1
HSCR1~withdrawn		
HSCR2~withdrawn		
HSCR~withdrawn		
HSC~withdrawn		
HSD3B1	HSDB3, HSD3B	SDR11E1
HSD3B2		SDR11E2
HSD3B7		C(27)-3BETA-HSD, SDR11E3
HSD3BP1		
HSD3BP2		
HSD3BP3		
HSD3BP4		
HSD3BP5		
HSD11B1	HSD11B, HSD11	SDR26C1
HSD11B1L		SCDR10, SDR26C2
HSD11B2		SDR9C3
HSD17B1	EDHB17, EDH17B2	HSD17, MGC138140, SDR28C1
HSD17B1P1	EDHB17, EDH17B1, HSD17BP1	SDR28C1P1
HSD17B2		HSD17, SDR9C2
HSD17B3		SDR12C2
HSD17B3-AS1		ENST00000448857
HSD17B4		MFE-2, DBP, SDR8C1
HSD17B5~withdrawn		
HSD17B6		HSE, RODH, SDR9C6
HSD17B7		PRAP, SDR37C1
HSD17B7P1		
HSD17B7P2		HSD17B7, bA291L22.1
HSD17B8	FABGL	HKE6, D6S2245E, RING2, KE6, H2-KE6, SDR30C1
HSD17B10	HADH2, MRXS10	ERAB, MHBD, 17b-HSD10, ABAD, SDR5C1, MRPP2, CAMR
HSD17B11	DHRS8	RetSDR2, 17-BETA-HSD11, 17-BETA-HSDXI, PAN1B, SDR16C2
HSD17B12		KAR, SDR12C1
HSD17B13		SCDR9, SDR16C3
HSD17B14	DHRS10	retSDR3, SDR47C1
HSDL1		SDR12C3
HSDL2	C9orf99	SDR13C1
HSF1		HSTF1
HSF2		
HSF2BP		
HSF4	CTM	
HSF5		FLJ40311
HSFX1		LW-1
HSFX2		
HSFY1	HSFY	HSF2L
HSFY1P1	CECR8	HSFYP1, HSFYL1
HSFY2		FLJ25453
HSFY3P		
HSFY4P		
HSFY5P		
HSFY6P		
HSFY7P		
HSFY8P		
HSH2D		ALX, HSH2, FLJ14886
HSN1~withdrawn		
HSN2~withdrawn		
HSP90AA1	HSPC1, HSPCA	Hsp89, Hsp90, FLJ31884, HSP90N
HSP90AA2P	HSPCAL3, HSP90AA2	HSPCA, HSP90ALPHA
HSP90AA3P	HSPCAL1	
HSP90AA4P	HSPCAL2	
HSP90AA5P		
HSP90AA6P		
HSP90AB1	HSPC2, HSPCB	
HSP90AB2P		HSP90BB
HSP90AB3P	HSPCP1	
HSP90AB4P		
HSP90AB5P		
HSP90AB6P		
HSP90AB7P		
HSP90B1	TRA1	GP96, GRP94
HSP90B2P	TRAP1, TRA1P1, HSPCP2	GRP94P1, GRP94b
HSP90B3P	TRAP2, TRA1P2	GRP94c
HSPA1A	HSPA1	HSP70-1
HSPA1B		HSP70-2
HSPA1L		HSP70-HOM, hum70t
HSPA2		
HSPA3~withdrawn		
HSPA4		HS24/P52, HSPH2
HSPA4L		APG-1, Osp94, HSPH3
HSPA5	GRP78	BiP
HSPA6		HSP70B'
HSPA7		HSP70B
HSPA8	HSPA10	HSC71, HSC70, HSP73
HSPA8P1	HSPAP1	
HSPA8P2		
HSPA8P3		
HSPA8P4		
HSPA8P5		
HSPA8P6		
HSPA8P7		
HSPA8P8		
HSPA8P9		
HSPA8P10		
HSPA8P11		
HSPA8P12		
HSPA8P13		
HSPA8P14		
HSPA8P15		
HSPA8P16		
HSPA8P17		
HSPA8P18		
HSPA8P19		
HSPA8P20		
HSPA9	HSPA9B	GRP75, PBP74, mot-2, mthsp75
HSPA9A~withdrawn		
HSPA9P1	HSPA9BP, HSPA9P	
HSPA9P2		
HSPA10~withdrawn		
HSPA12A		FLJ13874, KIAA0417
HSPA12B	C20orf60	dJ1009E24.2
HSPA13	STCH	
HSPA14		HSP70-4, HSP70L1
HSPB1		HSP27, HSP28, Hs.76067, Hsp25, CMT2F
HSPB1P1	HSPBL2	
HSPB1P2	HSPBL3	
HSPB2		Hs.78846, MKBP
HSPB2-C11orf52		
HSPB3		HSPL27
HSPB6		FLJ32389, Hsp20, PPP1R91
HSPB7		cvHSP
HSPB8		H11, E2IG1, HSP22, HspB8, CMT2L
HSPB9		CT51
HSPB11	C1orf41	HSPCO34, PP25, IFT25
HSPBAP1		FLJ22623, PASS1
HSPBL1~withdrawn		
HSPBP1		HspBP1, FES1
HSPCAL4~withdrawn		
HSPCP2~withdrawn		
HSPD1	SPG13	GroEL, HSP60
HSPD1P1		HSPD1-2P
HSPD1P2	HSPDP2	HSP60P2, HSPD-9P
HSPD1P3	HSPDP3, HSPDP1, HSPDP4	HSP60P3, HSP60P1, HSP60P4, HSPD1-7P
HSPD1P4		HSPD1-5P
HSPD1P5	HSPDP5	HSPD1-8P
HSPD1P6	HSPDP6	HSPD1-6P
HSPD1P7	HSPDP7	HSPD1-22P
HSPD1P8		HSPD1-12P
HSPD1P9		HSPD1-14P
HSPD1P10		HSPD1-4P
HSPD1P11		
HSPD1P12		HSPD1-10P
HSPD1P13		HSPD1-16P
HSPD1P14		HSPD1-17P
HSPD1P15		HSPD1-15P
HSPD1P16		HSPD1-13P
HSPD1P17		HSPD1-19P
HSPD1P18		
HSPD1P19		HSPD1-18P
HSPD1P20		HSPD1-20P
HSPD1P21		HSPD1-3P
HSPD1P22		HSPD1-21P
HSPDP1~withdrawn		
HSPDP4~withdrawn		
HSPE1		CPN10, GroES, HSP10, EPF
HSPE1-MOB4		
HSPE1P1	HSPEP1	bA101E14.1
HSPE1P2	HSPEP2	
HSPE1P3		
HSPE1P4		
HSPE1P5		
HSPE1P6		
HSPE1P7		
HSPE1P8		
HSPE1P9		
HSPE1P10		
HSPE1P11		
HSPE1P12		
HSPE1P13		
HSPE1P14		
HSPE1P15		
HSPE1P16		EPF8
HSPE1P17		
HSPE1P18		
HSPE1P19		
HSPE1P20		
HSPE1P21		
HSPE1P22		
HSPE1P23		
HSPE1P24		
HSPE1P25		
HSPE1P26		
HSPE1P27		
HSPE1P28		
HSPG1~withdrawn		
HSPG2	SJS1	perlecan, PRCAN
HSPH1		HSP105B, KIAA0201, HSP105A, NY-CO-25
HSR1~withdrawn		
HSST~withdrawn		
HTATIP2		TIP30, CC3, FLJ26963, SDR44U1
HTATSF1		TAT-SF1
HTATSF1P1	HTATSF1P	TAT-SF1-L, dJ1033B10.6
HTATSF1P2		
HTC1		
HTC2		CGH, HCG
HTD2		
HTK~withdrawn		
HTL		LEUT
HTLVR~withdrawn		
HTN1		HIS1
HTN3		HIS2
HTOR		
HTR1A	ADRB2RL1, ADRBRL1	5-HT1A
HTR1B		S12, 5-HT1B, HTR1D2, 5-HT1DB
HTR1C~withdrawn		
HTR1D	HTRL	RDC4, HT1DA, 5-HT1D
HTR1DP1		
HTR1E		5-HT1E
HTR1F		HTR1EL, 5-HT1F
HTR2A	HTR2	5-HT2A
HTR2A-AS1		
HTR2B		5-HT(2B), 5-HT2B
HTR2C	HTR1C	5-HT2C, 5HTR2C
HTR2C-IT1~withdrawn		
HTR3A	HTR3	5-HT3R, 5-HT3A
HTR3B		5-HT3B
HTR3C		
HTR3D		
HTR3E		
HTR3E-AS1		
HTR3~withdrawn		
HTR4		5-HT4
HTR4-IT1~withdrawn		
HTR5A		5-HT5A
HTR5A-AS1	HTR5AOS	
HTR5BP	GPR134, HTR5B	5-HT5B
HTR6		5-HT6, 5-HT6R
HTR7		5-HT7
HTR7P1	HTR7P	
HTRA1	PRSS11	HtrA, IGFBP5-protease, ARMD7
HTRA2	PRSS25	OMI, PARK13
HTRA3		Tasp, Prsp
HTRA4		FLJ90724
HTRL~withdrawn		
HTT	HD	IT15
HTT-AS	HTT-AS1	HTTAS
HTT~withdrawn		
HTX1~withdrawn		
HTX2~withdrawn		
HUD~withdrawn		
HULC		NCRNA00078, LINC00078, HCCAT1
HUNK		
HUNK-AS1		TCONS_00028914
HUR~withdrawn		
HUS1		
HUS1B		
HUWE1		Ib772, KIAA0312, UREB1
HV1S~withdrawn		
HVBS1~withdrawn		
HVBS4~withdrawn		
HVBS6~withdrawn		
HVBS7		
HVBS8		
HVCN1		MGC15619, Hv1, VSOP
HVEB~withdrawn		
HVEC~withdrawn		
HYAL1		LUCA1, HYAL-1, FUS2, NAT6
HYAL2		LuCa-2, LUCA2
HYAL3		LUCA-3, LUCA14, Minna14
HYAL4		
HYALP1		HYAL6
HYD2		
HYDIN		DKFZp434D0513, KIAA1864, PPP1R31, CILD5
HYDIN2	HYDINP1	
HYI		HT036
HYI-AS1		
HYKK	AGPHD1	LOC123688
HYKPP~withdrawn		
HYLS1		FLJ32915
HYMAI		NCRNA00020
HYOU1		ORP150, HSP12A, Grp170
HYPK	C15orf63	HSPC136, FLJ20431
HYPM	CXorf27	HIP17
HYP~withdrawn		
HYRC1~withdrawn		
HY~withdrawn		
IAH1		
IAPP		AMYLIN, DAP, IAP
IARS		ILRS, IARS1
IARS2		FLJ10326
IARS2P1		
IBA57	C1orf69	FLJ12734
IBA57-AS1	C1orf148	FLJ32878
IBD2		
IBD3		
IBD4		
IBD5		
IBD6		
IBD7		
IBD8		
IBD9		
IBGC1		
IBM2~withdrawn		
IBM3~withdrawn		
IBP1~withdrawn		
IBP2~withdrawn		
IBSP		BSP, SP-II, BSP-II
IBTK	BTKI	DKFZP564B116, BTBD26
IBTKP1		
IC1~withdrawn		
ICA1		ICAp69, ICA69
ICA1L	ALS2CR15, ALS2CR14	
ICAM1		BB2, CD54
ICAM2		CD102
ICAM3		CDW50, ICAM-R, CD50
ICAM4	LW	CD242
ICAM5	TLCN	TLN
ICCA~withdrawn		
ICE1	KIAA0947	
ICE2	NARG2	FLJ11896, BRCC1
ICE2P1	NARG2P1	
ICE2P2	NARG2P2	
ICK		MRK, LCK2, KIAA0936, MGC46090
ICMT		PCCMT, HSTE14, PPMT
ICOS		AILIM, CD278
ICOSLG	ICOSL	KIAA0653, GL50, B7-H2, B7RP-1, B7H2, B7RP1, ICOS-L, CD275
ICR1		
ICR2B~withdrawn		
ICR3		
ICR4		
ICR5		
ICS1		
ID1		dJ857M17.1.2, bHLHb24
ID2		GIG8, bHLHb26
ID2-AS1		
ID2B		
ID3		HEIR-1, bHLHb25
ID4		bHLHb27
IDDM2~withdrawn		
IDDM3		
IDDM4		
IDDM5~withdrawn		
IDDM6		
IDDM7		
IDDM8		
IDDM9		
IDDM10~withdrawn		
IDDM11		
IDDM12~withdrawn		
IDDM13		
IDDM14		
IDDM15		
IDDM16		
IDDM17		
IDDM18		
IDE		
IDH1		
IDH1-AS1		
IDH2		
IDH3A		
IDH3B		RP46
IDH3G		
IDI1		
IDI2		IPPI2
IDI2-AS1	C10orf110, IDI2-AS	HT009, Em:AC022536.4
IDNK	C9orf103	bA522I20.2, hGntK
IDO1	IDO, INDO	
IDO2	INDOL1	
IDO~withdrawn		
IDS	SIDS	
IDSP1		IDS2
IDUA		MPS1
IER2		ETR101
IER3		IEX-1, DIF-2, PRG1, IEX-1L
IER3IP1		
IER5		
IER5L		bA247A12.2
IFFO1	IFFO	HOM-TES-103
IFFO2		
IFI4~withdrawn		
IFI6	G1P3	IFI616, FAM14C, 6-16, IFI-6-16
IFI16		IFNGIP1, PYHIN2
IFI17~withdrawn		
IFI27		P27, FAM14D, ISG12
IFI27L1	FAM14B	
IFI27L2	FAM14A	TLH29
IFI30		IFI-30, GILT, IP30, MGC32056, IP-30
IFI35		IFP35
IFI44		MTAP44, p44, TLDC5
IFI44L	C1orf29	GS3686
IFI53~withdrawn		
IFI54~withdrawn		
IFI56P~withdrawn		
IFI56~withdrawn		
IFI75~withdrawn		
IFIH1		MDA-5, Hlcd, MDA5, IDDM19
IFIT1	G10P1, IFI56, IFNAI1	GARG-16
IFIT1B	IFIT1L	bA149I23.6
IFIT1P1	G13P1, IFI56P, IFIT1P	II56P
IFIT2	IFI54, G10P2	IFI-54, ISG-54K, cig42, GARG-39
IFIT3	IFIT4	ISG60, RIG-G, CIG-49, IFI60, GARG-49, IRG2
IFIT5		RI58
IFIT6P		
IFITM1	IFI17	9-27, CD225
IFITM2		1-8D
IFITM3		1-8U
IFITM4P		dJ377H14.5
IFITM5		fragilis4, Hrmp1, BRIL
IFITM8P		
IFITM9P		
IFITM10		
IFN1@~withdrawn		
IFNA1		IFNA@, IFL, IFN, IFN-ALPHA, IFNA13, IFN-alphaD
IFNA2		IFNA, IFN-alphaA
IFNA4		MGC142200, IFN-alpha4a
IFNA5		IFN-alphaG
IFNA6		IFN-alphaK
IFNA7		IFNA-J, IFN-alphaJ
IFNA8		IFN-alphaB
IFNA10		IFN-alphaC
IFNA11P	IFNP11	
IFNA12P	IFNP12	
IFNA13		
IFNA14		LEIF2H, IFN-alphaH
IFNA16		IFN-alphaO
IFNA17		LEIF2C1, IFN-alphaI
IFNA20P	IFNP20	
IFNA21		IFN-alphaI
IFNA22P	IFNAP22	
IFNAI1~withdrawn		
IFNAR1	IFNAR	IFRC
IFNAR2	IFNABR	
IFNA~withdrawn		
IFNB1	IFNB	IFB, IFF
IFNB2~withdrawn		
IFNB3~withdrawn		
IFNBR~withdrawn		
IFNE		IFNE1
IFNG		
IFNG-AS1		Tmevpg1, LincR-Ifng-3'AS, NEST
IFNGR1	IFNGR	CD119
IFNGR2	IFNGT1	AF-1
IFNGT1~withdrawn		
IFNK		
IFNL1	IL29	IL-29
IFNL2	IL28A	IL-28A
IFNL3	IL28B	IL-28B, IL28C
IFNL3P1	IL28BP1	
IFNL4		IFNAN
IFNL4P1		
IFNLR1	IL28RA	CRF2/12, IFNLR, IL-28R1
IFNNP1		
IFNP23~withdrawn		
IFNP24~withdrawn		
IFNR		
IFNW1		
IFNWP2		
IFNWP4		
IFNWP5		
IFNWP9		
IFNWP15		
IFNWP18		pseudo-IFN-alpha-m
IFNWP19		
IFRD1		PC4, TIS7
IFRD2		SKMc15, SM15, IFNRP
IFT20		
IFT22	RABL5	FLJ14117, FLJ13225, DKFZp761N0823
IFT27	RABL4	RAYL, BBS19
IFT43	C14orf179	FLJ32173, MGC16028
IFT46	C11orf60	C11orf2, FLJ21827, CFAP32
IFT52	C20orf9	CGI-53, NGD5, dJ1028D15.1, NGD2
IFT57	ESRRBL1	FLJ10147, HIPPI, MHS4R2
IFT74	CCDC2	CMG1, CMG-1, FLJ22621
IFT74-AS1		
IFT80	WDR56	KIAA1374
IFT81	CDV1	CDV-1R, MGC4027
IFT88	TTC10	hTg737, Tg737, D13S1056E, MGC26259
IFT122	WDR10	WDR140, WDR10p, SPG
IFT140	WDTC2	gs114, KIAA0590
IFT172		SLB, wim, osm-1, NPHP17, BBS20
IGAD1		
IGA~withdrawn		
IGBP1	IBP1	
IGBP1-AS1		
IGBP1-AS2		
IGBP1P1	C14orf19	
IGBP1P2		
IGBP1P3		
IGBP1P4		
IGBP1P5		
IGB~withdrawn		
IGDCC3	PUNC	HsT18880
IGDCC4		NOPE, LOC57722
IGER~withdrawn		
IGES		
IGF1		IGF1A, IGFI, IGF-I
IGF1R		JTK13, CD221, IGFIR, MGC18216, IGFR
IGF2	C11orf43	FLJ44734, IGF-II
IGF2-AS	IGF2AS	PEG8, IGF2-AS1
IGF2BP1		IMP-1
IGF2BP2		IMP-2
IGF2BP2-AS1	C3orf65	FLJ32900
IGF2BP3		IMP-3, CT98, IMP3
IGF2R		CD222, MPRI, MPR1, CIMPR, M6P-R, CI-M6PR, CI-MPR, MPR300
IGFALS		ALS
IGFBP1	IBP1	IGF-BP25, AFBP, hIGFBP-1, PP12
IGFBP2	IBP2	
IGFBP3		IBP3, BP-53
IGFBP4		IBP4, BP-4, HT29-IGFBP, IGFBP-4
IGFBP5		
IGFBP6		
IGFBP7		MAC25, IGFBP-7, PSF, FSTL2
IGFBP7-AS1		
IGFBP10~withdrawn		
IGFBPL1		bA113O24.1
IGFL1		UNQ644
IGFL1P1		IGFL-5P
IGFL1P2		IGFL-6P
IGFL2		UNQ645
IGFL2-AS1		
IGFL3		UNQ483
IGFL4		
IGFLR1	U2AF1L4, TMEM149	FLJ22573
IGFN1		DKFZp434B1231, EEF1A2BP1
IGH	IGHDY1, IGH@	
IGHA1		
IGHA2		
IGHD		FLJ00382, FLJ46727, MGC29633
IGHD1-1		IGHD11
IGHD1-7		DM1, IGHD17
IGHD1-14		IGHD114, DM2
IGHD1-20		IGHD120
IGHD1-26		IGHD126
IGHD1OR15-1A		IGHD1/OR15-1A, IGHD1OR151A
IGHD1OR15-1B		IGHD1/OR15-1B, IGHD1OR151B
IGHD2-2		IGHD22
IGHD2-8		IGHD28, DLR1
IGHD2-15		IGHD215, D2
IGHD2-21		IGHD221
IGHD2OR15-2A		IGHD2/OR15-2A, IGHD2OR152A
IGHD2OR15-2B		IGHD2/OR15-2B, IGHD2OR152B
IGHD3-3		IGHD33, DXP4
IGHD3-9		IGHD39, DXP1
IGHD3-10		IGHD310, DXP'1
IGHD3-16		IGHD316
IGHD3-22		IGHD322
IGHD3OR15-3A		IGHD3/OR15-3A, IGHD3OR153A
IGHD3OR15-3B		IGHD3/OR15-3B, IGHD3OR153B
IGHD4-4		IGHD44, DA4
IGHD4-11		IGHD411, DA1
IGHD4-17		IGHD417
IGHD4-23		IGHD423
IGHD4OR15-4A		IGHD4/OR15-4A, IGHD4OR154A
IGHD4OR15-4B		IGHD4/OR15-4B, IGHD4OR154B
IGHD5-5		IGHD55, DK4
IGHD5-12		IGHD512, DK1
IGHD5-18		IGHD518
IGHD5-24		IGHD524
IGHD5OR15-5A		IGHD5/OR15-5A, IGHD5OR155A
IGHD5OR15-5B		IGHD5/OR15-5B, IGHD5OR155B
IGHD6-6		IGHD66, D(N4)
IGHD6-13		IGHD613, DN1
IGHD6-19		IGHD619
IGHD6-25		IGHD625
IGHD7-27		IGHD727, DHQ52
IGHD@~withdrawn		
IGHDOR15@~withdrawn		
IGHDY1~withdrawn		
IGHDY2~withdrawn		
IGHE		
IGHEP1		
IGHEP2		
IGHG1		
IGHG2		
IGHG3		
IGHG4		
IGHGP	IGHGP1	
IGHJ1		
IGHJ1P		Jpsi1
IGHJ2		
IGHJ2P		Jpsi2
IGHJ3		
IGHJ3P		Jpsi3
IGHJ4		
IGHJ5		
IGHJ6		
IGHJ@~withdrawn		
IGHJ~withdrawn		
IGHM		
IGHMBP2		ZFAND7, SMUBP2, CATF1, SMARD1, HCSA, HMN6, CMT2S
IGHR~withdrawn		
IGHV1-2		V35
IGHV1-3		VI-3B
IGHV1-8		
IGHV1-12		
IGHV1-14		
IGHV1-17		
IGHV1-18		
IGHV1-24		
IGHV1-38-4	IGHV1-C	IGHV1-c
IGHV1-45		
IGHV1-46		
IGHV1-58		
IGHV1-67		
IGHV1-68		
IGHV1-69	IGHV1-E	
IGHV1-69-2	IGHV1-F	IGHV1-f
IGHV1-69D		
IGHV1-E~withdrawn		
IGHV1OR15-1		IGHV1/OR15-1
IGHV1OR15-2		IGHV1/OR15-2
IGHV1OR15-3		IGHV1/OR15-3
IGHV1OR15-4		IGHV1/OR15-4
IGHV1OR15-5		IGHV1/OR15-5
IGHV1OR15-6		IGHV1/OR15-6
IGHV1OR15-9	VSIG7	IGHV1/OR15-9, IGHV1OR159
IGHV1OR16-1		IGHV1/OR16-1
IGHV1OR16-2		IGHV1/OR16-2
IGHV1OR16-3		IGHV1/OR16-3
IGHV1OR16-4		IGHV1/OR16-4
IGHV1OR21-1		IGHV1/OR21-1
IGHV2-5		
IGHV2-10		
IGHV2-26		
IGHV2-70		
IGHV2-70D		
IGHV2@~withdrawn		
IGHV2OR16-5		IGHV2/OR16-5
IGHV3-6		
IGHV3-7		
IGHV3-9		
IGHV3-11		
IGHV3-13		
IGHV3-15		
IGHV3-16		
IGHV3-19		
IGHV3-20		
IGHV3-21		
IGHV3-22		
IGHV3-23		
IGHV3-25		
IGHV3-29		
IGHV3-30		
IGHV3-30-2		
IGHV3-30-3		
IGHV3-30-5		
IGHV3-32		
IGHV3-33		
IGHV3-33-2		
IGHV3-35		
IGHV3-36		
IGHV3-37		
IGHV3-38		
IGHV3-38-3	IGHV3-D	IGHV3-d
IGHV3-41		
IGHV3-42		
IGHV3-43		
IGHV3-43D		
IGHV3-47		
IGHV3-48		
IGHV3-49		
IGHV3-50		
IGHV3-52		
IGHV3-53		
IGHV3-54		
IGHV3-57		
IGHV3-60		
IGHV3-62		
IGHV3-63		
IGHV3-64		
IGHV3-64D		
IGHV3-65		
IGHV3-66		
IGHV3-69-1	IGHV3-H	IGHV3-h
IGHV3-71	IGHV3-G	IGHV3-g
IGHV3-72		
IGHV3-73		
IGHV3-74		
IGHV3-75		
IGHV3-76		
IGHV3-79		
IGHV3-G~withdrawn		
IGHV3@~withdrawn		
IGHV3OR15-7		IGHV3/OR15-7
IGHV3OR16-6		IGHV3/OR16-6
IGHV3OR16-7		IGHV3/OR16-7
IGHV3OR16-8		IGHV3/OR16-8
IGHV3OR16-9		IGHV3/OR16-9
IGHV3OR16-10		IGHV3/OR16-10
IGHV3OR16-11		IGHV3/OR16-11
IGHV3OR16-12		IGHV3/OR16-12
IGHV3OR16-13		IGHV3/OR16-13
IGHV3OR16-14		IGHV3/OR16-14
IGHV3OR16-15		IGHV3/OR16-15
IGHV3OR16-16		IGHV3/OR16-16
IGHV4-4		
IGHV4-28		
IGHV4-30-1		
IGHV4-30-2		IGHV4-3, IGHV4302
IGHV4-30-4		IGHV4-3, IGHV4304
IGHV4-31		
IGHV4-34		
IGHV4-38-2	IGHV4-B	
IGHV4-39		
IGHV4-55		
IGHV4-59		
IGHV4-61		
IGHV4-80		
IGHV4OR15-8	VSIG6	IGHV4/OR15-8, IGHV4OR158
IGHV5-10-1	IGHV5-A	IGHV5-a
IGHV5-51		
IGHV5-78		
IGHV6-1		
IGHV7-4-1		
IGHV7-27		
IGHV7-34-1		
IGHV7-40		
IGHV7-56		
IGHV7-77~withdrawn		
IGHV7-81		
IGHV@~withdrawn		
IGHVII-1-1		IGHV(II)-1-1
IGHVII-15-1		IGHV(II)-15-1
IGHVII-20-1		IGHV(II)-20-1
IGHVII-22-1		IGHV(II)-22-1
IGHVII-26-2		IGHV(II)-26-2
IGHVII-28-1		IGHV(II)-28-1
IGHVII-30-1		IGHV(II)-30-1
IGHVII-30-21		IGHV(II)-30-21
IGHVII-31-1		IGHV(II)-31-1
IGHVII-33-1		IGHV(II)-33-1
IGHVII-40-1		IGHV(II)-40-1
IGHVII-43-1		IGHV(II)-43-1
IGHVII-44-2		IGHV(II)-44-2
IGHVII-46-1		IGHV(II)-46-1
IGHVII-49-1		IGHV(II)-49-1
