Approved Symbol	Previous Symbols	Synonyms
ABLIM3		KIAA0843
ABO		A3GALNT, A3GALT1
ABR		MDB
ABRA		STARS
ABRACL	C6orf115	PRO2013, HSPC280, Costars
ABT1		
ABT1P1		
ABTB1		BPOZ, EF1ABP, Btb3, BTBD21
ABTB2		DKFZP586C1619, BTBD22, ABTB2A
ACAA1		
ACAA2		DSAEC
ACACA	ACAC, ACC	ACC1
ACACB		HACC275, ACC2, ACCB
ACAD8		
ACAD9		NPD002, MGC14452
ACAD10		MGC5601
ACAD11		FLJ12592
ACADL		LCAD, ACAD4
ACADM		MCAD, MCADH, ACAD1
ACADS		SCAD, ACAD3
ACADSB		SBCAD, ACAD7
ACADVL		VLCAD, LCACD, ACAD6
ACAD~withdrawn		
ACAN	MSK16, CSPG1, AGC1	CSPGCP
ACAP1	CENTB1	KIAA0050
ACAP2	CENTB2	KIAA0041, CNT-B2
ACAP2-IT1		
ACAP3	CENTB5	KIAA1716
ACAT1	ACAT	THIL
ACAT2		
ACBD3	GOLPH1, GOCAP1	GCP60, PAP7
ACBD3-AS1		
ACBD4		FLJ13322
ACBD5		DKFZp434A2417, KIAA1996
ACBD6		MGC2404
ACBD7		FLJ38219, bA455B2.2
ACBP~withdrawn		
ACCN~withdrawn		
ACCPN~withdrawn		
ACCS		PHACS, ACS
ACCSL		
ACC~withdrawn		
ACD		Ptop, Pip1, Tpp1, Tint1
ACE	DCP1	ACE1, CD143
ACE2		
ACE3P		
ACER1	ASAH3	
ACER2	ASAH3L	FLJ41587, ALKCDase2
ACER3	PHCA	FLJ11238, APHC
ACHAP~withdrawn		
ACHE	YT	
ACHM1~withdrawn		
ACHM2~withdrawn		
ACHM3~withdrawn		
ACHRD~withdrawn		
ACHRG~withdrawn		
ACH~withdrawn		
ACIN1	ACINUS	KIAA0670, fSAP152
ACKR1	FY, DARC	CCBP1, GPD, Dfy, CD234
ACKR2	CMKBR9, CCBP2	CCR10, D6, CCR9
ACKR3	CMKOR1, CXCR7	RDC1, GPR159
ACKR4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1
ACLS		
ACLY		ATPCL, CLATP, ACL
ACMG~withdrawn		
ACMSD		
ACO1	IREB1	IRP1, IREBP
ACO2		ACONM
ACOD1	IRG1	CAD
ACOT1		ACH2, CTE-1, LACH2
ACOT2		Mte1, ZAP128
ACOT4		FLJ31235, PTE-Ib, PTE2B
ACOT6	C14orf42	
ACOT7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH
ACOT8	PTE1	hACTE-III, hTE, PTE-2, NAP1
ACOT9		CGI-16, MT-ACT48, ACATE2
ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1
ACOT12		Cach, THEAL, STARD15
ACOT13	THEM2	HT012
ACOX1		PALMCOX
ACOX2		BRCACOX, BRCOX, THCCox
ACOX3		
ACOXL		FLJ11042
ACOXL-AS1		
ACP1		HAAP, LMW-PTP, LMWPTP
ACP2		LAP
ACP5		TRAP, HPAP
ACP6		LPAP, ACPL1
ACP7		FLJ16165, PAPL1, PAPL
ACPP		ACP3, ACP-3, PAP
ACPT		
ACR		
ACRBP		SP32, OY-TES-1, CT23
ACRV1		SPACA2, SP-10, D11S4365
ACS3~withdrawn		
ACSBG1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG
ACSBG2		BGR, PRTD-NY3, DKFZp434K1635
ACSF2		FLJ20920, ACSMW
ACSF3		
ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1
ACSL3	FACL3	ACS3, PRO2194
ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4
ACSL5	FACL5	ACS5, ACS2
ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2
ACSM1	BUCS1	MACS1
ACSM2A	ACSM2	A-923A4.1, MGC150530
ACSM2B	ACSM2	HXMA, HYST1046
ACSM3	SAH	SA
ACSM4		
ACSM5		FLJ20581
ACSM5P1		
ACSM6	C10orf129	bA310E22.3
ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843
ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1
ACSS3		FLJ21963
ACTA1	ACTA	NEM3
ACTA2		ACTSA
ACTA2-AS1		uc001kfo.1, ZXF1
ACTA3~withdrawn		
ACTB		
ACTBL2		DKFZp686D0972
ACTBP1		
ACTBP2		
ACTBP3		
ACTBP4		
ACTBP5~withdrawn		
ACTBP6		
ACTBP7		
ACTBP8		ACTBP2
ACTBP9		
ACTBP10		
ACTBP11		
ACTBP12	ACTGP5	
ACTBP13		
ACTBP14		
ACTC1	ACTC	CMD1R
ACTG1	ACTG, DFNA20, DFNA26	
ACTG1P1	ACTGP1, ACT1GP1	
ACTG1P2	ACTL2, ACTGP2	
ACTG1P3	ACTGP3	
ACTG1P4	ACTGP4	
ACTG1P6	ACTGP6	
ACTG1P7	ACTGP7	
ACTG1P8	ACTGP8	
ACTG1P9	ACTGP9	
ACTG1P10	ACTL1, ACTGP10	
ACTG1P11		
ACTG1P12		
ACTG1P13		
ACTG1P14		
ACTG1P15		
ACTG1P16		
ACTG1P17		
ACTG1P18		
ACTG1P19		
ACTG1P20		
ACTG1P21		
ACTG1P22		
ACTG1P23		
ACTG1P24	POTENP	
ACTG2	ACTL3, ACTA3	ACTSG
ACTL2~withdrawn		
ACTL3~withdrawn		
ACTL4~withdrawn		
ACTL5~withdrawn		
ACTL6A		Actl6, BAF53A, Arp4, Baf53a, INO80K
ACTL6B	ACTL6	BAF53B
ACTL7A		
ACTL7B		Tact1
ACTL8		CT57
ACTL9		MGC33407
ACTL10	C20orf134	
ACTN1		
ACTN1-AS1	C14orf84	
ACTN2		
ACTN3		
ACTN4	FSGS1	
ACTN4P1		
ACTN4P2		
ACTP1		
ACTR1A		ARP1, Arp1A
ACTR1B	CTRN2	Arp1B
ACTR2		ARP2
ACTR3		ARP3
ACTR3B		ARP11, ARP3beta
ACTR3BP1		
ACTR3BP2		FKSG73
ACTR3BP3		
ACTR3BP4		
ACTR3BP5		
ACTR3BP6		
ACTR3C		ARP11
ACTR3P1		
ACTR3P2		
ACTR3P3		
ACTR5		FLJ12785, Arp5, INO80M
ACTR6		ARP6, FLJ13433
ACTR6P1		
ACTR8		INO80N
ACTR10		HARP11, ACTR11, Arp11, Arp10
ACTRT1		AIP1, KIAA0705, ARIP1, Arp-T1
ACTRT2		Arp-T2, ARPM2, FLJ25424
ACTRT3		ARPM1
ACVR1	ACVRLK2	SKR1, ALK2, ACVR1A
ACVR1B	ACVRLK4	ALK4, SKR2, ActRIB
ACVR1C		ALK7, ACVRLK7
ACVR2A	ACVR2	ACTRII
ACVR2B		ActR-IIB
ACVR2B-AS1		
ACVRL1	ACVRLK1, ORW2	HHT2, ALK1, HHT
ACVRLK2~withdrawn		
ACY1		
ACY1L~withdrawn		
ACY3		HCBP1, MGC9740, ACY-3
ACYP1		
ACYP2		
AD1~withdrawn		
AD2~withdrawn		
AD3~withdrawn		
AD4~withdrawn		
AD5		
ADA		
ADA2	IDGFL, CECR1	ADGF
ADAD1		Tenr
ADAD1P1		
ADAD1P2		
ADAD2		TENRL, FLJ00337
ADAL		
ADAM1A	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P
ADAM1B		
ADAM2	FTNB	PH-30b, PH30, CT15
ADAM3A	CYRN1	ADAM3, tMDCI
ADAM3B	CYRN2	
ADAM5	ADAM5P	tMDCII
ADAM6	C14orf96	tMDCIV
ADAM7		GP-83, EAPI
ADAM8		CD156, MS2, CD156a
ADAM9	CORD9	MDC9, KIAA0021, MCMP, Mltng
ADAM10		kuz, MADM, HsT18717, CD156c
ADAM11	MDC	
ADAM12		MCMPMltna, MLTN
ADAM12-OT1~withdrawn		
ADAM15		MDC15
ADAM17	TACE	cSVP, CD156B
ADAM18		tMDCIII, ADAM27
ADAM19		MLTNB
ADAM20		
ADAM20P1	C14orf55	
ADAM20P2		
ADAM20P3		
ADAM21		ADAM31
ADAM21P1	ADAM21P	
ADAM22		MDC2
ADAM23		MDC3
ADAM24P		
ADAM28		eMDCII, MDC-Lm, MDC-Ls, ADAM23
ADAM29		svph1, CT73
ADAM30		svph4
ADAM32		
ADAM33	C20orf153	DKFZp434K0521, dJ964F7.1
ADAMDEC1		M12.219
ADAMTS1		C3-C5, METH1, KIAA1346
ADAMTS2		ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI
ADAMTS3		KIAA0366, ADAMTS-4
ADAMTS4		KIAA0688, ADAMTS-2, ADMP-1
ADAMTS5		ADMP-2, ADAMTS11
ADAMTS6		ADAM-TS6
ADAMTS7		ADAM-TS7, DKFZp434H204
ADAMTS7P1	ADAMTS7P2	
ADAMTS7P2~withdrawn		
ADAMTS7P3		
ADAMTS7P4		
ADAMTS8		METH2, FLJ41712, ADAM-TS8
ADAMTS9		KIAA1312
ADAMTS9-AS1		
ADAMTS9-AS2		
ADAMTS10		ADAM-TS10
ADAMTS12		
ADAMTS13	C9orf8	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322
ADAMTS14		
ADAMTS15		
ADAMTS16		ADAMTS16s
ADAMTS17		FLJ32769, FLJ16363
ADAMTS18	ADAMTS21	
ADAMTS19		
ADAMTS19-AS1		RP11-346A9.1
ADAMTS20		GON-1
ADAMTS21~withdrawn		
ADAMTSL1	C9orf94	ADAMTSR1, FLJ35283
ADAMTSL2		KIAA0605
ADAMTSL3		KIAA1233, punctin-2
ADAMTSL4	TSRC1	DKFZP434K1772
ADAMTSL4-AS1	C1orf138	FLJ45786
ADAMTSL5	THSD6	
ADAP1	CENTA1	GCS1L
ADAP2	CENTA2	
ADAR	IFI4, G1P1	ADAR1
ADARB1		ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d
ADARB2		RED2, hRED2, ADAR3
ADARB2-AS1	C10orf109, NCRNA00168	bA466B20.1
ADAT1		
ADAT2	DEADC1	dJ20N2.1, TAD2
ADAT3		TAD3
ADCK1		FLJ39600
ADCK2		MGC20727
ADCK5		FLJ35454
ADCP1		
ADCP2~withdrawn		
ADCR~withdrawn		
ADCY1	DFNB44	AC1
ADCY2		HBAC2, KIAA1060, AC2
ADCY3		AC3
ADCY4		AC4
ADCY5		AC5
ADCY6		AC6
ADCY7		KIAA0037, AC7
ADCY8	ADCY3	HBAC1, AC8
ADCY9		AC9
ADCY10		SAC, Sacy, SACI, HCA2, RP1-313L4.2
ADCY10P1		
ADCYAP1		PACAP
ADCYAP1R1		PAC1, PACAPR, PAC1R
ADD1		
ADD2		ADDB
ADD3	ADDL	
ADD3-AS1		
ADDL~withdrawn		
ADFN		
ADGB	C6orf103	FLJ23121, dJ408K24.1, CAPN16
ADGRA1	GPR123	KIAA1828
ADGRA1-AS1	GPR123-AS1	
ADGRA2	GPR124	TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390
ADGRA3	GPR125	FLJ38547, PGR21
ADGRB1	BAI1	
ADGRB2	BAI2	
ADGRB3	BAI3	KIAA0550
ADGRD1	GPR133	DKFZp434B1272, PGR25
ADGRD2	GPR144	PGR24
ADGRE1	TM7LN3, EMR1	
ADGRE2	EMR2	CD312
ADGRE3	EMR3	
ADGRE4P	GPR127, EMR4, EMR4P	PGR16
ADGRE5	CD97	TM7LN1
ADGRF1	GPR110	hGPCR36, PGR19
ADGRF2	GPR111	hGPCR35, PGR20
ADGRF3	GPR113	hGPCR37, PGR23
ADGRF4	GPR115	FLJ38076, PGR18
ADGRF5	GPR116	DKFZp564O1923, KIAA0758
ADGRF5P1	GPR116P1	
ADGRF5P2	GPR116P2	
ADGRG1	GPR56	TM7LN4, TM7XN1
ADGRG2	GPR64	HE6, TM7LN2, EDDM6
ADGRG3	GPR97	Pb99, PGR26
ADGRG4	GPR112	RP1-299I16, PGR17
ADGRG5	GPR114	PGR27
ADGRG6	GPR126	FLJ14937
ADGRG7	GPR128	FLJ14454
ADGRL1	LPHN1	KIAA0821, CIRL1, LEC2
ADGRL2	LPHH1, LPHN2	KIAA0786, LEC1
ADGRL3	LPHN3	KIAA0768, LEC3
ADGRL3-AS1	LPHN3-AS1	
ADGRL4	ELTD1	ETL
ADGRV1	USH2C, MASS1, GPR98	DKFZp761P0710, KIAA0686, FEB4, VLGR1
ADH1A	ADH1	
ADH1B	ADH2	
ADH1C	ADH3	
ADH4		ADH-2
ADH5	FDH	ADH-3, ADHX, GSNOR
ADH5P1~withdrawn		
ADH5P2		
ADH5P3		
ADH5P4	ADH5B	bA707M13.2
ADH6		ADH-5
ADH7		ADH-4
ADHFE1		ADHFe1, FLJ32430
ADI1		SIPL, MTCBP-1, ARD, APL1, FLJ10913, HMFT1638, mtnD
ADI1P1		
ADI1P2		
ADI1P3		
ADIG		MGC39724, SMAF1, RP5-1100H13.2
ADIPOQ	ACDC	ACRP30, AdipoQ, apM1, GBP28, adiponectin
ADIPOQ-AS1		
ADIPOR1		PAQR1, ACDCR1
ADIPOR1P1		
ADIPOR1P2		
ADIPOR2		PAQR2, ACDCR2
ADIRF	C10orf116	APM2, AFRO
ADIRF-AS1		
ADIR~withdrawn		
ADK		AK
ADL~withdrawn		
ADM		AM
ADM2		AM2, FLJ21135
ADM5	C19orf76	AM5
ADMLX~withdrawn		
ADMLY~withdrawn		
ADNP		KIAA0784, ADNP1
ADNP-AS1		
ADNP2	ZNF508	KIAA0863
ADO	C10orf22	FLJ14547
ADORA1		RDC7
ADORA2A	ADORA2	RDC8
ADORA2A-AS1	C22orf45	FLJ34651
ADORA2B		
ADORA2BP1	ADORA2BP	
ADORA2L1~withdrawn		
ADORA2L2~withdrawn		
ADORA3		AD026
ADPGK		DKFZp434B195, ADP-GK
ADPGK-AS1		
ADPRH		ARH1
ADPRHL1		ARH2
ADPRHL2		ARH3, FLJ20446
ADPRM	C17orf48	MDS006
ADRA1A	ADRA1C	ADRA1L1
ADRA1B		
ADRA1C~withdrawn		
ADRA1D		ADRA1R, ADRA1A, ADRA1
ADRA2A	ADRA2, ADRA2R	ADRAR
ADRA2B	ADRA2L1, ADRA2RL1	ADRARL1
ADRA2C	ADRA2L2, ADRA2RL2	ADRARL2
ADRA2L1~withdrawn		
ADRB1	ADRB1R	
ADRB2	ADRB2R	ADRBR, BAR, B2AR
ADRB2RL1~withdrawn		
ADRB3		
ADRM1		GP110, Rpn13, ARM1
ADSL		
ADSS		
ADSSL1		FLJ38602
ADTAA~withdrawn		
ADTAB~withdrawn		
ADTB1~withdrawn		
ADTB2~withdrawn		
ADTG~withdrawn		
ADTRP	C6orf105	dJ413H6.1, AIG1L
ADT~withdrawn		
AE1~withdrawn		
AE2~withdrawn		
AEBP1		ACLP
AEBP2		MGC17922
AEMK~withdrawn		
AEN	ISG20L1	FLJ12484, FLJ12562
AEPLC~withdrawn		
AES		GRG5, TLE5
AEZ~withdrawn		
AF8T		
AFA		
AFAP1		AFAP-110, AFAP
AFAP1-AS1	AFAP1AS, AFAP1-AS	MGC10981
AFAP1L1		FLJ36748
AFAP1L2	KIAA1914	FLJ14564, Em:AC005383.4, XB130
AFCP~withdrawn		
AFD1		
AFDN	MLLT4	AF-6, AF6
AFDN-AS1	C6orf124, MLLT4-AS1	HGC6.4, dJ431P23.3
AFF1	PBM1, MLLT2	AF-4, AF4
AFF2	FMR2	FRAXE
AFF2-IT1		
AFF3	LAF4	MLLT2-like
AFF4		AF5Q31, MCEF
AFG3L1P	AFG3, AFG3L1	
AFG3L2	SCA28	SPAX5
AFG3L2P1	AFG3L2P	
AFG3~withdrawn		
AFM		ALB2, ALBA
AFMID		DKFZp686F03259, KF
AFP	HPAFP	FETA
AFTPH		MGC33965, FLJ20080, FLJ23793, Nbla10388
AGA		ASRG
AGAP1	CENTG2	KIAA1099, GGAP1
AGAP1-IT1		
AGAP2	CENTG1	
AGAP2-AS1		LOC100130776, PUNISHER
AGAP3	CENTG3	
AGAP4	CTGLF1, AGAP8, CTGLF5	Em:AC012044.1, MRIP2
AGAP5	CTGLF2	Em:AC073389.1
AGAP6	CTGLF3	bA324H6.1
AGAP7P	CTGLF4, AGAP7	bA109G10.1
AGAP8~withdrawn		
AGAP9	CTGLF6	bA301J7.2, FLJ00312
AGAP10P	AGAP10, CTGLF7, CTGLF10P	bA358L16.1, bA144G6.2
AGAP10~withdrawn		
AGAP11		KIAA1975
AGAP12P	CTGLF12P	bA164N7.2
AGAP13P	CTGLF9P	bA548K23.1
AGAP14	CTGLF11P, AGAP14P	bA145E20.1
AGBL1		FLJ32310, CCP4
AGBL1-AS1		
